"","cod","lat","lng","intrusion","variation","flag_variation","v1","v2","v3","v4","v5","v6","v7"
"1",1120,42.7353261,-2.4455818,16,0,"null",10.6323506915942,-384.77746975866,6109.12493374199,5160.93555046245,3.58075753667005,5729.86233965494,347.396901468875
"2",1130,42.9581281,-2.8203207,2,44.4,"neg",41.806928859558,117.113731238788,415.575657598674,960.654558194801,-5.28417652715185,5572.84414446913,335.464590781788
"3",1138,42.96788,-2.7182728,2,11.3,"pos",16.1796627722215,138.547454771201,3306.54372815043,3844.32975761592,-10.885502704437,4631.23903279193,342.391259992163
"4",1170,42.9792248,-2.6487087,2,32.9,"neg",46.1619817961473,-377.537435808129,2728.40079166926,4239.44732588716,3.32188942151838,4864.34143637307,343.16470722773
"5",1192,42.8642828,-2.5693337,3,0,"null",14.8625248824246,53.4182374033652,1192.04444312491,2368.27705404721,-1.17222442660938,5622.27943674661,337.477312976364
"6",1193,42.8253082,-2.5693337,2,100,"pos",7.70233082701452,198.124750631851,4579.89613390528,1133.55196258053,3.96132422617378,5979.4554520864,332.407852431686
"7",1194,42.8040067,-2.6487087,2,0,"null",49.4783315318637,-386.405126668122,1971.48910756223,5571.47219609469,10.7709308391876,6980.64155164175,350.369033928599
"8",1196,42.9000333,-2.7083287,1,5.4,"neg",25.4721623803489,-11.0027609238829,1077.04667495564,1548.88282325119,2.95277647105984,3598.66762743331,346.267471690189
"9",1200,42.8112719,-2.3123031,1,0,"null",1.71168121369556,-218.753108379707,1447.18624008819,6862.33596121892,-8.43653003171102,6390.32218628563,347.890334908078
"10",1207,42.8291544,-2.3912362,14,0,"null",5.24868581304327,-42.3634355125641,1212.22713096067,2853.94978127442,4.38541154994126,4794.82689187862,340.238022831358
"11",1212,42.6449415,-2.7680247,4,0,"null",6.25639482331462,-28.764775222952,1902.04616324045,6920.3454379458,2.88578712585962,2474.68360671774,329.497869486097
"12",1213,54.6836552,25.3164377,4,27.7,"neg",38.9915496632457,-192.973285247937,4117.50043779612,3376.03009450249,24.3197885805978,5994.82649276033,361.974664543561
"13",1230,42.8192346,-2.8277963,3,211.5,"pos",2.86996637401171,183.979838479218,875.315722450614,5347.27903362364,0.735254572731239,627.453940734267,336.264073891958
"14",1240,42.8461137,-2.5098914,0,47.9,"neg",25.83005272015,162.593917175888,2657.30525162071,6762.66795382835,0.116606668544662,5727.86062355153,349.922430870223
"15",1260,42.8705325,-2.2728877,25,100,"pos",26.983496597968,208.228475405138,3068.73335274868,3356.87157465145,0.876970978432188,6532.4957835488,340.828290475699
"16",1300,42.5516581,-2.5693337,5,62.2,"pos",2.43391349120066,14.4380596729689,5850.81222061999,1903.82454870269,1.22382365959198,686.388606205583,344.350907520425
"17",1307,42.5493967,-2.6685736,3,100,"pos",37.4314960117918,-345.61583614937,4187.16382225975,6319.60850716569,4.87114514064502,3409.08359028399,334.888084920953
"18",1309,42.5503122,-2.6288523,3,0,"null",48.7746122570243,-405.62857258042,2102.98630986363,4029.00882642716,-2.36563985699552,4183.26532854699,339.871116218408
"19",1320,42.5150413,-2.4505255,2,27.8,"neg",14.2335254950449,36.935628321375,2870.34156620502,5273.62258494832,8.253047912733,2527.12748465128,356.5874342225
"20",1400,43.1455195,-2.9875565,3,38.4,"pos",21.2035962773953,362.445741819256,1879.58622295409,6012.05998463556,0.89715890668983,6426.93275264464,339.240721167872
"21",1408,43.1015307,-3.0025615,9,14.3,"pos",34.1287642840762,144.955446716079,1114.24009720795,3011.00985566154,9.49649030898603,1703.74080738984,359.475471476479
"22",1426,46.2722,5.3692,10,0,"null",41.5138562475331,397.612366144078,2218.39959691279,4396.44047468901,6.41537575384236,6737.83699888736,329.890208291011
"23",1428,42.8362244,-2.9275836,2,0,"null",27.3438345263712,214.307075075228,5180.67992734723,5286.73205040395,5.09323333840035,2695.57902910747,338.51660709697
"24",1450,43.0302111,-2.9475662,8,100,"pos",26.5728087611496,-186.500476721594,2707.66307418235,6153.45910787582,-1.56464044817592,3338.0363220349,353.03434919807
"25",1468,42.9709056,-2.9875565,10,94.9,"pos",27.611434234539,237.869477977771,2873.80201942287,6415.09410957806,2.35884744962383,6007.79485390522,362.937872807836
"26",1470,43.0679875,-2.9875565,3,0,"null",3.14030888234265,405.829754486566,3715.05385409109,799.104261398315,-3.23468372980995,1639.74218997173,339.017010864206
"27",1510,42.9009642,-2.6685736,3,0,"null",44.6085498235188,-233.190674107577,5524.36439809389,4708.4187972825,-2.88014742895617,2222.75470499881,358.992986420762
"28",1520,42.9317474,-2.5990835,3,100,"pos",9.18849945697002,102.868402431123,1158.72051431797,4033.71245558374,0.477491424902605,2978.17138475366,355.721547880442
"29",2001,39.0019158,-1.8391485,1,0,"null",28.6673055232968,77.462792262804,4546.92943915725,5464.64315876365,-6.84395153194519,5637.53931075335,346.022394066066
"30",2002,38.9873668,-1.8525626,1,38.3,"neg",24.7936993581243,275.334193328577,4052.40371492691,6551.27625958994,3.55243758270328,5289.88307574764,340.038508934187
"31",2004,38.9923873,-1.8647609,1,0,"null",37.793635294307,74.0212129990838,6519.77221742272,6373.45669600181,-2.72700886245467,5112.18994730152,332.539248321758
"32",2005,39.067615,-1.8025852,0,48.7,"neg",27.9513072797563,-78.9457168733981,1513.57106072828,1068.26537032612,3.50511224542862,6434.88839636557,327.931488186669
"33",2006,39.0336871,-1.9685826,6,214.1,"pos",32.2373428314459,140.029822999685,3954.49435124174,4143.86169160716,-2.90261398575683,1734.2931991443,329.110751522205
"34",2007,39.0977825,-1.8708613,3,0,"null",31.2567217750475,344.353023143367,2258.04891092703,6338.61693465151,-0.114058293271084,5615.88470567949,346.117446059904
"35",2110,39.1163314,-2.0077316,9,0,"null",23.1838751549367,140.865155435078,6407.47035080567,434.604767290875,8.38997093475148,3230.11554419063,351.46261310229
"36",2120,38.7721486,-1.9979411,12,100,"pos",8.3566269907169,-44.0285684565905,6060.49227518961,4254.75772293285,1.84714398046854,4967.91311609559,333.597658354009
"37",2141,38.7103261,-1.9392435,10,100,"pos",16.4201959292404,495.046195833157,4336.48732695729,3982.55581948906,11.0084327646275,2046.1283613462,336.081998332236
"38",2151,39.0812595,-1.5789994,13,100,"pos",13.1342328365427,163.58578964277,5231.50799619034,1795.21334106103,2.42415786985664,6577.77802762575,342.532469518799
"39",2213,39.1997868,-1.2409799,100,0,"null",30.1295691130217,-103.19162852815,962.432524142787,1580.81099586561,-5.420760879865,6830.65202273428,342.026012514013
"40",2230,39.244283,-1.8123324,6,0,"null",40.0537021381315,148.512102398012,6172.52092431299,4901.43873454072,3.67383549686384,1359.80063732713,346.494593167549
"41",2240,39.2039046,-1.7344155,4,0,"null",17.1166821329389,10.0162223149812,6641.20203037746,5067.10944962688,1.62720577949865,3199.83412791044,347.616475237371
"42",2246,39.2869979,-1.7344155,9,0,"null",3.43725635716692,468.709668154808,5940.90020819567,3111.89274406061,6.68940207970044,5003.86904506013,348.83448597246
"43",2260,39.2584424,-1.5499211,5,0,"null",22.8182874897029,62.2650361294509,3137.12587025948,6303.7813807372,2.07691690741019,3216.84343321249,334.770090415776
"44",2270,39.3727033,-1.5402327,7,0,"null",24.9106926717795,-845.343851879031,1568.12303005718,5863.08234869502,3.87008359984742,901.551515376195,330.543353672731
"45",2300,38.6710735,-2.4925685,18,100,"pos",24.454709198093,890.652021674968,2777.68828123808,5215.31821121462,0.033274751960886,1278.73618006706,364.340053139915
"46",2320,38.8951599,-2.1352039,4,0,"null",28.9547307139728,1111.97285446247,6655.02320867963,2450.0581507571,-0.958323781947046,881.586367962882,333.114124259127
"47",2350,38.5706747,-2.6487087,66,0,"null",8.74187055951916,-51.6228924742542,1618.07654229924,6038.97286127321,9.17628278465634,1709.29094254971,331.374196762724
"48",2400,38.5760616,-1.8123324,2,59.8,"pos",36.5043629982974,-184.014292536274,1980.09634143673,1998.94315605052,9.17453920263141,4614.66103885323,348.697525114846
"49",2409,38.4954133,-1.5789994,11,0,"null",42.6176673336886,-211.442102539311,2482.57198831998,4337.42614760995,2.36521582471267,3531.23236922547,336.845864755387
"50",2420,38.4500015,-1.8123324,9,100,"pos",31.7115907669067,73.9748238028248,5110.58896104805,2392.24214539863,-2.09596432773272,3650.94597241841,347.712182135124
"51",2430,38.4454636,-2.086133,4,100,"pos",7.11397505295463,412.2305320778,5079.44083600305,2605.25633175857,0.607424079000887,3097.28688662872,334.557527168149
"52",2434,38.3398844,-2.1057549,18,90.9,"pos",39.1342124869116,-160.440090592355,1721.92087555304,2281.87009813264,12.0190979162673,2606.27576829866,344.740611650786
"53",2435,38.3327345,-1.9869293,5,100,"pos",33.7520482519176,37.3762660442785,4779.71232961863,2528.80095774308,0.577661239920385,4570.66100705415,333.91657519844
"54",2513,38.5475411,-1.6080974,7,3.7,"pos",27.9856958100572,48.8867620615284,3182.05472812988,4818.10755878687,6.32392838046172,1721.67618963867,329.995474636283
"55",2520,38.9333839,-1.714958,1,0,"null",47.6585073366296,38.8450942701146,4002.11483715102,1389.37904760242,0.868799742114872,2466.3636402227,335.375483386001
"56",2530,38.1437833,-2.2999821,7,100,"pos",19.6841787437443,-114.118375340095,608.486602595076,1869.98460046016,2.42988405832782,5155.02602220513,325.700017075812
"57",2600,39.2676169,-2.6043204,1,18.4,"pos",20.2765459085349,79.764696627073,1903.27743603848,4239.14832132868,-2.69711157296309,6169.42059565336,340.885435856882
"58",2611,38.9760577,-2.7580701,3,4.6,"neg",33.2241645171307,146.070018724386,1459.91853764281,4183.19158931263,-0.812874458433608,4540.7240872737,344.089873078005
"59",2612,39.0664631,-2.4406387,6,0,"null",11.1619882290252,-71.7836104455767,6054.5493579004,4171.83731771074,-4.3064944980195,1352.47032339685,341.781140235924
"60",2630,39.1755765,-2.1843285,1,0,"null",22.1502850374673,321.383448675678,4123.73845800757,4187.85372497514,-2.53571007103121,5905.93038513325,338.614234190829
"61",2636,39.3132442,-2.037116,6,0,"null",29.1608722489327,750.155493826772,3675.94021675177,5455.5149404332,6.08002307654838,1937.55517737009,340.062088192899
"62",2637,39.2502776,-2.0763253,25,12.5,"neg",12.9810349554755,300.880667344769,4202.56892810576,4380.94235653989,-2.15899466188741,4012.94150580652,339.290966242863
"63",2639,39.0704113,-2.2433487,4,16.3,"neg",47.5752413619775,1059.75763558376,3947.50212584622,4902.78554433025,7.86381223324064,5602.05397536047,347.734748974213
"64",2640,38.8572378,-1.09694,4,16.7,"neg",48.1590635918546,-174.904708654978,6337.1754467953,6334.15241786279,4.69380004784258,3851.69675983489,343.097928065918
"65",2650,38.7711848,-1.3276422,10,0,"null",7.41022195364349,34.6080441880946,6833.3079398144,5965.95841078088,-2.36051053021164,4334.14600715041,346.102890119998
"66",2651,38.7067566,-1.4628042,3,0,"null",22.0529614661355,621.793729187782,6120.8048759494,5087.59583812207,14.1363501740229,3972.26491663605,333.412024672983
